"PEPANNRES: Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014",,,,,,,,,,,
2014 Population Estimates ,,,,,,,,,,,
Geography,,,"April 1, 2010",,,,Population Estimate (as of July 1),,,,
,,,Census,,,Estimates Base,2010,2011,2012,2013,2014
"Morgan County, Colorado",,,"28,159",,,"28,159","28,141","28,498","28,355","28,389","28,328"
"Otero County, Colorado",,,"18,831",,,"18,831","18,901","18,889","18,712","18,572","18,488"
"Ouray County, Colorado",,,"4,436",,,"4,434","4,460","4,449","4,545","4,578","4,629"
"Park County, Colorado",,,"16,206",,,"16,201","16,264","16,091","16,043","16,128","16,345"
"Phillips County, Colorado",,,"4,442",,,"4,442","4,460","4,371","4,376","4,355","4,363"
"Pitkin County, Colorado",,,"17,148",,,"17,148","17,149","17,127","17,232","17,381","17,626"
"Prowers County, Colorado",,,"12,551",,,"12,551","12,571","12,505","12,405","12,281","12,034"
"Pueblo County, Colorado",,,"159,063",,,"159,063","159,536","160,213","160,840","161,320","161,875"
"Rio Blanco County, Colorado",,,"6,666",,,"6,666","6,660","6,774","6,793","6,759","6,707"
"Rio Grande County, Colorado",,,"11,982",,,"11,982","12,020","11,924","11,893","11,755","11,607"
"Routt County, Colorado",,,"23,509",,,"23,509","23,426","23,182","23,207","23,458","23,865"
"Saguache County, Colorado",,,"6,108",,,"6,108","6,131","6,185","6,319","6,226","6,196"
"San Juan County, Colorado",,,699,,,699,708,697,695,699,720
"San Miguel County, Colorado",,,"7,359",,,"7,359","7,356","7,488","7,604","7,697","7,840"
"Sedgwick County, Colorado",,,"2,379",,,"2,379","2,370","2,374","2,377","2,354","2,348"
"Summit County, Colorado",,,"27,994",,,"27,994","28,063","27,960","28,228","28,755","29,404"
"Teller County, Colorado",,,"23,350",,,"23,350","23,456","23,334","23,376","23,258","23,389"
"Washington County, Colorado",,,"4,814",,,"4,814","4,805","4,808","4,736","4,774","4,780"
"Weld County, Colorado",,,"252,825",,,"252,837","254,173","258,737","264,189","270,560","277,670"
"Yuma County, Colorado",,,"10,043",,,"10,043","10,016","10,156","10,117","10,163","10,202"
"Fairfield County, Connecticut",,,"916,829",,,"916,828","919,506","928,722","935,290","942,119","945,438"
"Hartford County, Connecticut",,,"894,014",,,"894,029","895,197","897,142","897,698","898,848","897,985"
"Litchfield County, Connecticut",,,"189,927",,,"189,927","189,742","188,898","187,415","186,660","184,993"
"Middlesex County, Connecticut",,,"165,676",,,"165,676","165,625","166,195","165,520","165,389","164,943"
"New Haven County, Connecticut",,,"862,477",,,"862,474","863,367","864,049","864,031","863,016","861,277"
"New London County, Connecticut",,,"274,055",,,"274,046","274,102","274,056","274,544","273,976","273,676"
"Tolland County, Connecticut",,,"152,691",,,"152,682","153,199","153,056","151,925","151,706","151,367"
"Windham County, Connecticut",,,"118,428",,,"118,434","118,607","118,419","117,939","117,627","116,998"
"Kent County, Delaware",,,"162,310",,,"162,344","162,954","165,214","167,666","169,562","171,987"
"New Castle County, Delaware",,,"538,479",,,"538,477","538,873","542,324","546,021","549,233","552,778"
"Sussex County, Delaware",,,"197,145",,,"197,115","197,904","200,291","203,194","206,445","210,849"
"District of Columbia, District of Columbia",,,"601,723",,,"601,767","605,210","620,427","635,040","649,111","658,893"
"Alachua County, Florida",,,"247,336",,,"247,335","247,680","249,712","251,713","253,309","256,380"
"Baker County, Florida",,,"27,115",,,"27,115","27,072","27,064","27,041","27,017","27,093"
"Bay County, Florida",,,"168,852",,,"168,852","169,294","169,700","171,994","174,966","178,985"
"Bradford County, Florida",,,"28,520",,,"28,520","28,544","28,476","27,132","26,907","26,702"
"Brevard County, Florida",,,"543,376",,,"543,378","544,029","544,431","547,669","551,440","556,885"
"Broward County, Florida",,,"1,748,066",,,"1,748,148","1,753,576","1,788,367","1,819,773","1,845,393","1,869,235"
"Calhoun County, Florida",,,"14,625",,,"14,625","14,635","14,763","14,709","14,647","14,532"
"Charlotte County, Florida",,,"159,978",,,"159,989","159,927","159,613","162,792","164,948","168,474"
"Citrus County, Florida",,,"141,236",,,"141,236","141,283","139,773","139,290","139,134","139,377"
"Clay County, Florida",,,"190,865",,,"190,865","191,423","192,291","194,294","196,535","199,798"
"Collier County, Florida",,,"321,520",,,"321,520","322,710","327,903","332,873","340,106","348,777"
"Columbia County, Florida",,,"67,531",,,"67,532","67,606","67,340","67,943","67,563","67,857"
"DeSoto County, Florida",,,"34,862",,,"34,862","34,916","34,636","34,745","34,616","35,012"
"Dixie County, Florida",,,"16,422",,,"16,422","16,409","16,354","16,063","15,954","15,907"
"Duval County, Florida",,,"864,263",,,"864,263","865,842","872,294","880,595","887,322","897,698"
"Escambia County, Florida",,,"297,619",,,"297,619","298,110","299,642","304,214","307,871","310,659"
"Flagler County, Florida",,,"95,696",,,"95,696","96,053","97,295","98,510","99,950","102,408"
"Franklin County, Florida",,,"11,549",,,"11,549","11,538","11,518","11,671","11,639","11,815"
"Gadsden County, Florida",,,"46,389",,,"47,746","47,814","47,387","46,653","46,191","46,281"
"Gilchrist County, Florida",,,"16,939",,,"16,939","16,987","16,979","16,872","16,907","16,997"
"Glades County, Florida",,,"12,884",,,"12,884","12,939","13,150","13,026","13,201","13,635"
"Gulf County, Florida",,,"15,863",,,"15,863","15,817","15,670","15,670","15,805","15,944"
"Hamilton County, Florida",,,"14,799",,,"14,799","14,672","14,594","14,699","14,319","14,048"
"Hardee County, Florida",,,"27,731",,,"27,731","27,767","27,684","27,414","27,410","27,469"
"Hendry County, Florida",,,"39,140",,,"39,140","39,044","38,816","37,686","37,750","38,505"
"Hernando County, Florida",,,"172,778",,,"172,777","172,947","172,853","173,102","174,205","175,855"
"Highlands County, Florida",,,"98,786",,,"98,786","98,703","98,360","98,087","97,919","98,236"
"Hillsborough County, Florida",,,"1,229,226",,,"1,229,224","1,234,145","1,271,720","1,282,032","1,294,145","1,316,298"
"Holmes County, Florida",,,"19,927",,,"19,927","19,861","19,821","19,725","19,649","19,650"
"Indian River County, Florida",,,"138,028",,,"138,028","138,235","138,973","140,608","142,021","144,755"
"Jackson County, Florida",,,"49,746",,,"49,761","49,618","49,126","48,980","49,000","48,801"
"Jefferson County, Florida",,,"14,761",,,"14,761","14,745","14,496","14,193","14,192","14,050"
"Lafayette County, Florida",,,"8,870",,,"8,870","8,812","8,808","8,802","8,846","8,835"
"Lake County, Florida",,,"297,052",,,"297,047","297,910","299,886","303,450","308,115","315,690"
"Lee County, Florida",,,"618,754",,,"618,754","620,521","631,412","644,988","661,336","679,513"
"Leon County, Florida",,,"275,487",,,"275,480","276,063","278,320","283,854","282,184","283,988"
"Levy County, Florida",,,"40,801",,,"40,801","40,716","40,267","39,997","39,694","39,613"
"Liberty County, Florida",,,"8,365",,,"8,365","8,343","8,233","8,247","8,328","8,360"
"Madison County, Florida",,,"19,224",,,"19,226","19,255","19,105","18,915","18,713","18,518"
"Manatee County, Florida",,,"322,833",,,"322,833","323,510","327,458","334,071","342,417","351,746"
"Marion County, Florida",,,"331,298",,,"331,303","331,527","332,507","334,495","336,159","339,167"
"Martin County, Florida",,,"146,318",,,"146,850","146,978","147,595","148,846","151,478","153,392"
"Miami-Dade County, Florida",,,"2,496,435",,,"2,498,017","2,508,689","2,579,916","2,610,960","2,641,866","2,662,874"
"Monroe County, Florida",,,"73,090",,,"73,090","73,226","74,151","74,991","76,536","77,136"
"Nassau County, Florida",,,"73,314",,,"73,314","73,543","74,159","74,640","75,628","76,619"
"Okaloosa County, Florida",,,"180,822",,,"180,822","180,751","183,314","190,437","193,906","196,512"
"Okeechobee County, Florida",,,"39,996",,,"39,996","40,039","39,441","39,285","39,076","39,149"
"Orange County, Florida",,,"1,145,956",,,"1,145,954","1,148,953","1,170,411","1,202,076","1,226,764","1,253,001"
"Osceola County, Florida",,,"268,685",,,"268,687","269,811","278,755","288,970","299,498","310,211"
"Palm Beach County, Florida",,,"1,320,134",,,"1,320,134","1,324,241","1,338,609","1,358,613","1,376,199","1,397,710"
"Pasco County, Florida",,,"464,697",,,"464,701","465,541","466,552","470,604","475,695","485,331"
"Pinellas County, Florida",,,"916,542",,,"916,812","916,701","917,979","922,265","930,109","938,098"
"Polk County, Florida",,,"602,095",,,"602,095","603,359","609,696","615,764","623,159","634,638"
"Putnam County, Florida",,,"74,364",,,"74,364","74,221","73,928","73,119","72,543","72,143"
"St. Johns County, Florida",,,"190,039",,,"190,039","191,257","196,025","202,264","209,544","217,919"
"St. Lucie County, Florida",,,"277,789",,,"277,257","278,268","280,779","283,559","286,307","291,028"
"Santa Rosa County, Florida",,,"151,372",,,"151,372","152,870","155,697","158,398","160,811","163,422"
"Sarasota County, Florida",,,"379,448",,,"379,437","379,952","381,513","386,050","390,242","396,962"
"Seminole County, Florida",,,"422,718",,,"422,718","423,012","427,036","431,405","436,706","442,516"
"Sumter County, Florida",,,"93,420",,,"93,420","94,287","98,598","102,823","108,483","114,350"
"Suwannee County, Florida",,,"41,551",,,"41,551","42,320","43,385","43,576","43,718","44,022"
"Taylor County, Florida",,,"22,570",,,"22,568","22,573","22,678","22,739","22,879","22,582"
"Union County, Florida",,,"15,535",,,"15,535","15,537","15,239","15,239","15,086","15,190"
"Volusia County, Florida",,,"494,593",,,"494,597","494,625","494,458","497,092","501,201","507,531"
"Wakulla County, Florida",,,"30,776",,,"30,783","30,853","30,953","30,823","31,016","31,432"
"Walton County, Florida",,,"55,043",,,"55,043","55,255","55,640","57,275","59,403","61,530"
"Washington County, Florida",,,"24,896",,,"24,896","24,760","24,596","24,857","24,635","24,451"
"Appling County, Georgia",,,"18,236",,,"18,236","18,337","18,458","18,379","18,391","18,540"
"Atkinson County, Georgia",,,"8,375",,,"8,382","8,365","8,364","8,247","8,287","8,223"
"Bacon County, Georgia",,,"11,096",,,"11,096","11,090","11,191","11,186","11,230","11,281"
"Baker County, Georgia",,,"3,451",,,"3,451","3,443","3,323","3,369","3,321","3,255"
"Baldwin County, Georgia",,,"45,720",,,"45,835","45,685","45,081","46,455","46,139","45,909"
"Banks County, Georgia",,,"18,395",,,"18,395","18,403","18,330","18,232","18,325","18,295"
"Barrow County, Georgia",,,"69,367",,,"69,367","69,681","69,846","70,171","71,425","73,240"
"Bartow County, Georgia",,,"100,157",,,"100,157","100,113","100,242","100,477","101,289","101,736"
"Ben Hill County, Georgia",,,"17,634",,,"17,634","17,639","17,599","17,545","17,490","17,464"
"Berrien County, Georgia",,,"19,286",,,"19,286","19,345","19,342","19,063","19,005","18,700"
"Bibb County, Georgia",,,"155,547",,,"155,510","155,630","155,850","156,184","154,615","153,905"
"Bleckley County, Georgia",,,"13,063",,,"13,063","13,054","13,059","12,897","12,755","12,795"
"Brantley County, Georgia",,,"18,411",,,"18,410","18,465","18,581","18,555","18,299","18,417"
"Brooks County, Georgia",,,"16,243",,,"16,324","16,278","15,968","15,537","15,631","15,418"
"Bryan County, Georgia",,,"30,233",,,"30,238","30,401","31,238","32,246","33,133","33,906"
"Bulloch County, Georgia",,,"70,217",,,"70,217","70,638","72,842","72,824","71,308","72,087"
"Burke County, Georgia",,,"23,316",,,"23,316","23,360","23,559","23,128","22,925","22,709"
"Butts County, Georgia",,,"23,655",,,"23,655","23,739","23,562","23,454","23,222","23,368"
"Calhoun County, Georgia",,,"6,694",,,"6,694","6,712","6,549","6,502","6,517","6,463"
"Camden County, Georgia",,,"50,513",,,"50,513","50,689","50,332","51,402","51,517","52,027"
"Candler County, Georgia",,,"10,998",,,"10,998","11,017","11,304","11,125","10,944","10,888"
"Carroll County, Georgia",,,"110,527",,,"110,591","110,704","110,722","111,453","112,388","114,093"
"Catoosa County, Georgia",,,"63,942",,,"63,940","64,020","64,839","64,961","65,335","65,621"
"Charlton County, Georgia",,,"12,171",,,"12,171","12,831","13,410","13,308","13,044","12,897"
"Chatham County, Georgia",,,"265,128",,,"265,133","265,996","272,002","276,710","278,428","283,379"
"Chattahoochee County, Georgia",,,"11,267",,,"11,267","11,179","11,293","12,570","12,350","11,837"
"Chattooga County, Georgia",,,"26,015",,,"26,015","25,980","25,705","25,676","25,120","24,939"
"Cherokee County, Georgia",,,"214,346",,,"214,346","215,216","217,770","220,914","224,869","230,985"
"Clarke County, Georgia",,,"116,714",,,"116,707","117,484","118,509","120,270","121,206","120,938"
"Clay County, Georgia",,,"3,183",,,"3,183","3,160","3,150","3,102","3,037","3,102"
"Clayton County, Georgia",,,"259,424",,,"259,467","259,824","262,643","266,253","264,843","267,542"
"Clinch County, Georgia",,,"6,798",,,"6,798","6,788","6,750","6,715","6,802","6,831"
"Cobb County, Georgia",,,"688,078",,,"688,076","689,692","697,682","708,036","718,208","730,981"
"Coffee County, Georgia",,,"42,356",,,"42,356","42,738","42,964","43,093","43,129","42,811"
"Colquitt County, Georgia",,,"45,498",,,"45,498","45,648","45,804","46,095","46,288","46,102"
"Columbia County, Georgia",,,"124,053",,,"124,053","124,955","128,753","132,556","136,287","139,257"
"Cook County, Georgia",,,"17,212",,,"17,212","17,226","16,979","16,859","17,025","17,214"
"Coweta County, Georgia",,,"127,317",,,"127,317","127,946","129,480","130,878","133,222","135,571"
"Crawford County, Georgia",,,"12,630",,,"12,630","12,587","12,605","12,619","12,481","12,387"
"Crisp County, Georgia",,,"23,439",,,"23,439","23,407","23,785","23,657","23,232","22,934"
"Dade County, Georgia",,,"16,633",,,"16,633","16,630","16,591","16,551","16,502","16,389"
"Dawson County, Georgia",,,"22,330",,,"22,339","22,300","22,214","22,376","22,651","22,957"
"Decatur County, Georgia",,,"27,842",,,"27,842","27,821","27,663","27,463","27,372","27,220"
"DeKalb County, Georgia",,,"691,893",,,"691,894","692,574","697,953","708,304","714,935","722,161"
"Dodge County, Georgia",,,"21,796",,,"21,797","21,789","21,462","21,353","21,243","20,976"
"Dooly County, Georgia",,,"14,918",,,"14,918","14,838","14,548","14,326","14,313","14,188"
"Dougherty County, Georgia",,,"94,565",,,"94,565","94,530","94,839","94,542","93,130","92,407"
"Douglas County, Georgia",,,"132,403",,,"132,339","132,644","133,280","133,926","136,560","138,776"
"Early County, Georgia",,,"11,008",,,"11,004","10,963","10,742","10,605","10,511","10,491"
"Echols County, Georgia",,,"4,034",,,"4,034","4,027","4,096","3,965","3,997","4,003"
"Effingham County, Georgia",,,"52,250",,,"52,250","52,446","52,673","53,337","54,488","55,423"
"Elbert County, Georgia",,,"20,166",,,"20,166","20,101","19,823","19,593","19,514","19,438"
"Emanuel County, Georgia",,,"22,598",,,"22,594","22,609","22,581","22,849","22,861","22,755"
"Evans County, Georgia",,,"11,000",,,"11,001","11,006","10,965","10,660","10,813","10,898"
"Fannin County, Georgia",,,"23,682",,,"23,693","23,688","23,505","23,467","23,746","23,753"
"Fayette County, Georgia",,,"106,567",,,"106,566","106,990","107,211","107,432","108,355","109,664"
"Floyd County, Georgia",,,"96,317",,,"96,317","96,393","96,182","96,066","96,025","96,063"
"Forsyth County, Georgia",,,"175,511",,,"175,511","176,737","182,392","187,826","195,312","204,302"
"Franklin County, Georgia",,,"22,084",,,"22,084","22,066","21,957","21,923","22,044","22,264"
"Fulton County, Georgia",,,"920,581",,,"920,579","926,149","950,359","977,950","984,721","996,319"
"Gilmer County, Georgia",,,"28,292",,,"28,281","28,306","28,280","28,205","28,587","28,829"
"Glascock County, Georgia",,,"3,082",,,"3,082","3,064","3,108","3,120","3,083","3,053"
"Glynn County, Georgia",,,"79,626",,,"79,626","79,802","80,216","80,960","81,533","82,175"
"Gordon County, Georgia",,,"55,186",,,"55,186","55,204","55,508","55,740","55,830","56,047"
"Grady County, Georgia",,,"25,011",,,"25,012","25,047","25,165","25,366","25,258","25,359"
"Greene County, Georgia",,,"15,994",,,"15,994","15,992","16,051","16,132","16,283","16,490"
"Gwinnett County, Georgia",,,"805,321",,,"805,324","808,374","824,981","840,221","858,956","877,922"
"Habersham County, Georgia",,,"43,041",,,"43,041","43,095","43,106","43,463","43,294","43,752"
"Hall County, Georgia",,,"179,684",,,"179,684","180,034","182,954","185,084","187,759","190,761"
"Hancock County, Georgia",,,"9,429",,,"9,402","9,410","9,368","9,030","8,898","8,509"
"Haralson County, Georgia",,,"28,780",,,"28,780","28,788","28,515","28,388","28,482","28,641"
"Harris County, Georgia",,,"32,024",,,"32,026","32,167","32,366","32,613","32,673","32,876"
"Hart County, Georgia",,,"25,213",,,"25,213","25,189","25,435","25,549","25,480","25,377"
"Heard County, Georgia",,,"11,834",,,"11,834","11,851","11,711","11,644","11,561","11,603"
"Henry County, Georgia",,,"203,922",,,"203,879","205,206","207,071","208,443","210,755","213,869"
"Houston County, Georgia",,,"139,900",,,"139,910","140,721","144,161","146,200","147,919","149,111"
"Irwin County, Georgia",,,"9,538",,,"9,538","9,601","9,692","9,600","9,412","9,104"
"Jackson County, Georgia",,,"60,485",,,"60,485","60,777","60,551","60,472","60,971","61,870"
"Jasper County, Georgia",,,"13,900",,,"13,900","13,885","13,778","13,596","13,543","13,432"
"Jeff Davis County, Georgia",,,"15,068",,,"15,068","15,091","15,088","15,114","14,986","14,859"
"Jefferson County, Georgia",,,"16,930",,,"16,930","16,919","16,816","16,422","16,342","16,272"
"Jenkins County, Georgia",,,"8,340",,,"8,340","8,321","8,122","9,133","9,268","9,125"
"Johnson County, Georgia",,,"9,980",,,"9,984","9,973","9,918","9,882","9,776","9,701"
"Jones County, Georgia",,,"28,669",,,"28,669","28,656","28,910","28,795","28,769","28,787"
"Lamar County, Georgia",,,"18,317",,,"18,317","18,268","18,178","18,039","17,946","18,207"
"Lanier County, Georgia",,,"10,078",,,"10,074","10,099","10,468","10,444","10,398","10,373"
